Neighborhood,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),ratio_steam,ratio_electricity,ratio_gas,flag_datacenter,flag_laboratory,flag_office,flag_downtown,flag_greatduw,flag_lakeu,outlier
1,2,60090,1,88830.0,12086616.0,0.0,0.609884023783001,0.39011597621699906,False,False,False,True,False,False,False
1,8,102761,2,102761.0,6298131.5,0.36142251078752485,0.5774180802671396,0.061159250168085565,False,False,False,True,False,False,False
1,11,355000,3,364913.0,18588860.0,0.0396775003953981,0.9603223113197904,0.0,False,False,False,True,False,False,True
1,6,103911,4,90000.0,9956396.0,0.4612459669141324,0.44733736986757056,0.09141661299932224,False,False,False,True,False,False,False
1,5,57452,5,16442.0,7606084.5,0.23352381570307298,0.4949709669935957,0.2715051351322747,False,False,False,True,False,False,False
1,10,540360,6,537150.0,44984468.0,0.0,0.5414720698708719,0.45852784120954815,False,False,False,True,False,False,True
1,19,385274,7,385274.0,47859812.0,0.0,0.3814820877273818,0.6185178913782612,False,False,False,True,False,False,True
2,2,56228,8,58916.0,1539478.5,0.0,0.608618437997023,0.3913812372176682,False,False,False,False,False,False,False
1,7,126593,9,125000.0,11343686.0,0.0,0.40969698914444563,0.590302922700787,False,False,False,True,False,False,False
1,2,67224,10,67224.0,1310236.625,0.0,0.9999995229869261,0.0,False,False,False,True,False,False,False
3,2,160645,8,164229.0,6779173.0,0.0,0.28729182748397186,0.7127081725160281,False,False,False,False,False,False,False
4,3,87262,11,40943.0,4145920.5,0.0,0.3263070288009623,0.6736928505985583,False,False,True,False,False,True,False
5,2,110356,12,26225.0,318364.8125,0.0,0.8834676099765265,0.1165329789704696,False,False,False,False,False,False,False
6,2,714095,13,616000.0,44731160.0,0.0,0.9999998435095356,0.0,False,False,False,False,True,False,True
7,2,54986,8,54986.0,1650279.25,0.0,0.7378078588820649,0.262191989628422,False,False,False,False,False,False,False
5,2,175565,8,182861.0,6399127.5,0.0,0.24998470494610397,0.7500152169182439,False,False,False,False,False,False,False
8,2,94900,11,55586.0,6186461.5,0.0,0.6937059254308784,0.30629399374747585,False,False,True,False,False,False,False
6,2,52554,11,51029.0,2951331.25,0.0,0.5352665852062523,0.4647333300862111,False,False,True,False,True,False,False
9,3,175015,8,175015.0,6994740.5,0.0,0.3831077078556381,0.6168922206620817,False,False,False,False,False,False,False
1,3,70586,12,38439.0,2158629.0,0.0,0.69499158956912,0.30500841043087995,False,False,False,True,False,False,False
1,5,168115,11,103362.0,9536161.0,0.0,0.9999998951359986,0.0,False,False,True,True,False,False,False
